BJD_TDB,Flux,Flux_Err,Bkg(ADU),Airmass,Dx(pix),Dy(pix),Peak(ADU),FWHM(pix),GJD_UTC
2460807.860996079,0.9938958418934614,0.0019678924757035214,146.3593635559082,1.210834,1.3107022460354447,-1.898057264521473,107869.0390625,3.922959273947229,2460807.857724965
2460807.8611737154,0.9929461955291814,0.001972764641497766,146.09271926879882,1.2107194,1.2717256993150508,-1.5353626408093537,107869.0390625,3.7265078443131046,2460807.857902604
2460807.8613517336,0.9937997967366784,0.0019653708877589164,146.07518310546874,1.210607,1.0950141597648892,-1.5758533604863145,107869.0390625,3.9331560719969203,2460807.858080625
2460807.861529601,0.9929870239326979,0.0019692378224248066,145.8871871948242,1.2104934,0.5703936665460394,-0.8960026205578457,107869.0390625,3.8323744426718735,2460807.8582584956
2460807.861707723,0.9913686248792634,0.001969800815055962,145.82581253051757,1.2103811,0.36977322102814936,-1.360543365928891,107869.0390625,4.079095018017629,2460807.8584366203
2460807.8618868636,0.9942894877783577,0.0019718230180950295,145.74778900146484,1.2102688,1.0129258916711452,-1.0245830865298793,107869.0390625,3.629348519840442,2460807.858615764
2460807.8620650084,0.9945104101648795,0.0019678604890617703,145.90451126098634,1.2101592,1.0372983848408224,-1.4978950805414204,107869.0390625,3.855734298027617,2460807.858793912
2460807.8622443345,0.9919500088877157,0.0019682752805224913,145.7961555480957,1.2100467,1.2341853727030254,-1.6077808813043,107869.0390625,3.6138501764087185,2460807.858973241
2460807.8624248756,0.9935808224587002,0.0019532705235646864,146.05240859985352,1.209936,0.999869125045986,-1.669011528525808,107869.0390625,4.352829521318832,2460807.859153785
2460807.86260596,0.9931642476902022,0.0019528750687979259,145.9421058654785,1.2098248,1.134884912147633,-1.4762845541756617,107869.0390625,4.817716847562039,2460807.8593348726
2460807.8627842097,0.9945127629455177,0.001945196709008382,145.95158157348632,1.2097166,1.386921535882777,-1.8054025138258913,107869.0390625,5.190323796260091,2460807.859513125
2460807.8629621007,0.9963090018481245,0.0019378717691391257,146.01490173339843,1.2096114,1.3214638882253864,-1.6053148831673445,107869.0390625,5.2434841718081815,2460807.8596910187
2460807.8631404075,0.9964854948908657,0.001938637562913811,146.06562271118165,1.2095028,1.3634820890316255,-1.5586517731146987,107869.0390625,5.21259877029665,2460807.859869329
2460807.8633194785,0.9946418384939893,0.0019459879165972492,146.07945251464844,1.2093949,1.0427606021572042,-1.0972385533016031,107869.0390625,5.060386105613449,2460807.8600484026
2460807.863497462,0.9935716242893307,0.001945035126798478,146.29921493530273,1.20929,1.2873712411516616,-2.8870876862646795,107869.0390625,4.861946298283267,2460807.860226389
2460807.8636791254,0.9936198570217182,0.0019532640820049707,146.16571426391602,1.2091828,1.0082396743772122,-0.9272274890578772,107869.0390625,4.816219966298386,2460807.8604080556
2460807.863858243,0.9938883858251184,0.0019383034503327654,146.25044479370118,1.2090784,2.24693047448147,-1.9281872242533715,107869.0390625,5.118082339911023,2460807.860587176
2460807.8640373144,0.9909324476755497,0.001957067304824344,145.88965377807617,1.208976,1.7693773659569616,-2.379133053674665,107869.0390625,4.600403941021536,2460807.86076625
2460807.8642153316,0.9939478825243454,0.001953778769441606,145.67119064331055,1.2088726,1.8573163805261388,-1.3881313077561155,107869.0390625,4.598464299318957,2460807.8609442706
2460807.8643933036,0.9943568071992352,0.0019558055694091103,145.38670043945314,1.2087695,0.7063171159981918,-1.6581325059837784,107869.0390625,4.0095382825266634,2460807.8611222454
2460807.8645726065,0.9899453958436855,0.0019526723809586382,144.56495742797853,1.2086676,1.9746581258037368,-2.4154764757685583,107869.0390625,4.727410324147216,2460807.861301551
2460807.8647506586,0.9945729317357564,0.001942986472023569,145.77431259155273,1.2085669,1.3528495028702976,-1.29579639403088,107869.0390625,5.014025365388126,2460807.8614796065
2460807.8649312113,0.9953725137731381,0.0019547658185656742,145.30304107666015,1.2084663,1.1640834700377551,-0.723612207620728,107869.0390625,3.9592145561699645,2460807.861660162
2460807.865108963,0.9964141508011511,0.0019519863327701538,145.6539108276367,1.2083661,1.2303625805376415,-1.7543113277342879,107869.0390625,4.431845782832752,2460807.8618379165
2460807.865289365,0.991753174804011,0.001950253433630036,145.67217254638672,1.2082674,0.8095522345068672,-1.0809074113150765,107869.0390625,4.554513884090091,2460807.8620183216
2460807.86547089,0.9919540347802003,0.0019595262316191666,145.21832427978515,1.2081674,1.7061948773125635,-1.4533314630565144,107869.0390625,4.092238642244189,2460807.8621998494
2460807.865648873,0.9922533111316366,0.0019697288844958576,145.26544876098632,1.2080679,1.3358179075619225,-1.9924970669989603,107869.0390625,3.567261651988049,2460807.8623778354
2460807.865826914,0.9920148876565575,0.0019674305941702296,145.3872848510742,1.207973,1.420356813096186,-1.5109600363662454,107869.0390625,3.9232207949710824,2460807.8625558796
2460807.866007131,0.9939648486401619,0.0019716173245360284,145.42803192138672,1.2078744,1.5589790086907445,-1.0981680951176302,107869.0390625,3.7223433956672354,2460807.8627360994
2460807.866185369,0.9901252413655798,0.0019659391334338845,145.52905044555663,1.2077803,2.0884106128644104,-1.8749974964040224,107869.0390625,3.914144648205621,2460807.86291434
2460807.8663638034,0.9903166944726313,0.0019652331286971504,145.3336975097656,1.2076834,1.4572104959538295,-1.520872060275628,107869.0390625,3.961022935489833,2460807.863092778
2460807.866542076,0.9926811471679406,0.001967228004453452,145.04134674072264,1.207591,1.21986603766939,-1.2965012914342517,107869.0390625,3.8930396435595207,2460807.8632710534
2460807.86672021,0.9909051024815667,0.0019599195404800896,144.98987274169923,1.2074978,2.4396303114612574,-1.744267182160215,107869.0390625,4.969514968929415,2460807.86344919
2460807.866898262,0.9918049469825256,0.0019666928003045153,144.9155029296875,1.2074039,1.738644774176125,-1.5110701633660528,107869.0390625,4.0009403523253235,2460807.863627245
2460807.867076199,0.9931552982921266,0.0019707499321952086,144.85093460083007,1.2073114,0.7418313196515266,-1.3651994159971415,107869.0390625,3.482858756513351,2460807.863805185
2460807.867254252,0.9922361677911158,0.001959870245122844,144.904793548584,1.2072219,1.7574383828491236,-1.8488368222626823,107869.0390625,4.308310473236705,2460807.863983241
2460807.867432362,0.9922592472816087,0.001966103489414064,144.73169555664063,1.2071313,1.596844982269886,-1.7891494764407734,107869.0390625,4.108085040575487,2460807.864161354
